routine_idx,elapsed_min,numer,denom,routine_start,rate
1046,27.3,0,1,2026-06-06 22:56:00.132000+00:00,0.0
1049,39.63333333333333,0,2,2026-06-07 00:37:21.418000+00:00,0.0
1050,62.733333333333334,0,2,2026-06-07 01:38:38.080000+00:00,0.0
1051,67.75,0,3,2026-06-07 02:50:23.488000+00:00,0.0
1052,87.93333333333334,0,1,2026-06-07 04:17:31.261000+00:00,0.0
1054,89.96666666666667,0,1,2026-06-07 07:26:02.688000+00:00,0.0
1055,73.43333333333334,0,2,2026-06-07 08:41:40.923000+00:00,0.0
1056,76.18333333333334,1,2,2026-06-07 09:57:32.691000+00:00,0.5
1057,54.9,0,3,2026-06-07 10:51:47.304000+00:00,0.0
1059,41.21666666666667,0,3,2026-06-07 12:15:49.341000+00:00,0.0
1061,43.18333333333333,1,2,2026-06-07 13:44:47.584000+00:00,0.5
1062,53.61666666666667,1,2,2026-06-07 14:32:51.122000+00:00,0.5
1063,38.88333333333333,0,1,2026-06-07 15:14:57.033000+00:00,0.0
1064,40.03333333333333,1,3,2026-06-07 15:58:00.226000+00:00,0.3333333333333333
1065,29.033333333333335,1,7,2026-06-07 16:23:17.841000+00:00,0.14285714285714285
1069,29.033333333333335,1,1,2026-06-07 18:31:21.727000+00:00,1.0
1070,30.866666666666667,1,5,2026-06-07 19:00:53.116000+00:00,0.2
1072,30.016666666666666,0,1,2026-06-07 20:06:42.118000+00:00,0.0
1073,36.0,0,2,2026-06-07 20:44:34.056000+00:00,0.0
1075,32.516666666666666,0,2,2026-06-07 21:50:46.005000+00:00,0.0
1076,26.266666666666666,0,3,2026-06-07 22:13:26.784000+00:00,0.0
1077,30.383333333333333,0,3,2026-06-07 22:46:51.962000+00:00,0.0
1080,30.616666666666667,0,3,2026-06-08 00:16:34.346000+00:00,0.0
1082,52.28333333333333,1,2,2026-06-08 02:26:22.078000+00:00,0.5
1083,87.58333333333333,0,1,2026-06-08 03:55:22.626000+00:00,0.0
1084,94.78333333333333,0,1,2026-06-08 05:30:17.201000+00:00,0.0
1087,99.11666666666666,0,1,2026-06-08 10:39:59.336000+00:00,0.0
1091,90.65,0,2,2026-06-08 16:47:42.779000+00:00,0.0
1092,64.06666666666666,0,1,2026-06-08 17:50:46.021000+00:00,0.0
1093,52.9,1,1,2026-06-08 18:44:32.799000+00:00,1.0
1094,59.85,0,1,2026-06-08 19:41:03.735000+00:00,0.0
1096,47.53333333333333,0,1,2026-06-08 21:33:14.422000+00:00,0.0
1097,41.733333333333334,1,2,2026-06-08 22:14:42.809000+00:00,0.5
1099,38.31666666666667,0,1,2026-06-08 23:34:44.442000+00:00,0.0
1100,26.333333333333332,0,2,2026-06-08 23:57:57.268000+00:00,0.0
1101,33.483333333333334,0,1,2026-06-09 00:33:58.013000+00:00,0.0
