tweet_id,feed,posted_at,snapshot_at,snapshot_impressions,current_at,current_impressions,current_likes,author_followers
2078168867348590868,xxl_dump,2026-07-17T17:24:03+00:00,2026-07-18T14:28:26.183+00:00,6,2026-07-22T10:05:51.148Z,6,0,131
2078169297176637739,xxl_dump,2026-07-17T17:25:45+00:00,2026-07-18T14:28:26.183+00:00,802,2026-07-22T10:02:01.714Z,846,1,685
2078169693978755442,xxl_dump,2026-07-17T17:27:20+00:00,2026-07-18T14:28:26.183+00:00,148535,2026-07-22T10:05:48.608Z,158470,1117,1772773
2078170178391867839,xxl_dump,2026-07-17T17:29:15+00:00,2026-07-18T14:28:26.183+00:00,2479,2026-07-22T10:05:51.148Z,27937,62,10955
2078170793725309107,xxl_dump,2026-07-17T17:31:42+00:00,2026-07-18T14:28:26.183+00:00,24,2026-07-22T10:02:01.714Z,24,0,131
2078171366751355132,xxl_dump,2026-07-17T17:33:59+00:00,2026-07-18T14:28:26.183+00:00,252256,2026-07-22T10:05:48.608Z,306562,9930,1275208
2078171892574499005,xxl_dump,2026-07-17T17:36:04+00:00,2026-07-18T14:28:26.183+00:00,386300,2026-07-22T10:05:51.148Z,454818,8363,2127
2078172382359859385,xxl_dump,2026-07-17T17:38:01+00:00,2026-07-18T14:28:26.183+00:00,66,2026-07-22T10:02:01.714Z,79,8,44
2078172859730473171,xxl_dump,2026-07-17T17:39:55+00:00,2026-07-18T14:28:26.183+00:00,45563,2026-07-22T10:05:48.608Z,64100,2226,154985
2078173531355951499,xxl_dump,2026-07-17T17:42:35+00:00,2026-07-18T14:28:26.183+00:00,15,2026-07-22T10:05:51.148Z,15,0,154
2078174202490736872,xxl_dump,2026-07-17T17:45:15+00:00,2026-07-18T14:28:26.183+00:00,8955,2026-07-22T10:02:00.901Z,9047,17,70787
2078174658164400320,xxl_dump,2026-07-17T17:47:03+00:00,2026-07-18T14:28:26.183+00:00,302495,2026-07-22T10:05:48.608Z,638652,2494,7813
